id,first_name,last_name,email,phone_number,date_of_birth,enrollment_date,status
56,testadmin,V1,a1111@gmail.com,+37367890864,2010-09-07,2025-09-16T13:20:36.906528+00:00,ACTIVE
55,testadmin,V,a13333@gmail.com,+37367890864,2010-09-09,2025-09-16T13:19:47.227933+00:00,ACTIVE
51,test,V,a199@gmail.com,+37367890864,2010-09-14,2025-09-16T12:31:14.329462+00:00,ACTIVE
54,testadmin,V,a1@gmail.com,+37367890864,2010-09-14,2025-09-16T13:16:07.737026+00:00,ACTIVE
48,testadmin,M,a1r@gmail.com,+37367890864,2010-09-08,2025-09-16T11:36:08.744559+00:00,ACTIVE
52,testadmin,V,a1ttt@gmail.com,+37363323001,2010-09-08,2025-09-16T12:38:58.330366+00:00,ACTIVE
49,testadmin,M,a1yyy@gmail.com,+37367890864,2010-09-08,2025-09-16T11:36:19.310987+00:00,ACTIVE
47,testadmin,V,a6@gmail.com,+37367890864,2010-09-01,2025-09-16T11:33:17.016852+00:00,ACTIVE
4,asf,qwe,a@gmail.com,+37367888888,2010-09-09,2025-09-10T13:09:50.867864+00:00,ACTIVE
43,aaa,aaa,aaaaa2@gmail.com,+37367888888,2009-09-14,2025-09-15T08:53:11.262693+00:00,ACTIVE
26,aaaaa,aaaaaaaa,aaaaa@gmail.com,12,2025-09-04,2025-09-12T08:14:28.459663+00:00,ACTIVE
35,aa,aaa,aaaaaa@gmail.com,+37366678966,2009-09-11,2025-09-13T19:30:09.884245+00:00,INACTIVE
24,test,testing,ab@gmail.com,+37371234569,2010-09-01,2025-09-12T08:11:38.277292+00:00,ACTIVE
27,ss,sss,ai@gmail.com,+37360000011,2025-09-11,2025-09-12T08:22:48.802797+00:00,ACTIVE
10,alex,brown,alex@example.com,+37360000003,2011-01-30,2025-09-11T22:40:38.928483+00:00,ACTIVE
7,aq,qa,aq@gmail.com,068777777,2007-01-01,2025-09-11T22:12:05.337550+00:00,GRADUATED
6,qwer,asdf,asdf@gmail.com,+37367123123,2009-03-12,2025-09-11T06:45:43.362990+00:00,INACTIVE
39,testadmin,seven,asdft@gmail.com,+37367890889,2010-09-07,2025-09-14T12:01:01.479781+00:00,ACTIVE
53,testadmin,M,atgc@gmail.com,+37363323001,2010-09-08,2025-09-16T12:39:42.668461+00:00,ACTIVE
28,aaaa,ssssss,attt@gmail.com,+37378010101,2025-09-10,2025-09-12T08:37:14.819158+00:00,ACTIVE
45,test,f1,atyuio@gmail.com,+37367890860,2010-09-16,2025-09-16T07:34:43.806348+00:00,ACTIVE
25,aaa,aaaa,auuu@gmail.com,+37377123456,2010-09-08,2025-09-12T08:12:12.674479+00:00,ACTIVE
17,ava,brown,ava@example.com,+37360000010,2007-12-01,2025-09-12T06:22:15.508114+00:00,ACTIVE
46,sss,V,aww@gmail.com,+37367890864,2010-09-01,2025-09-16T11:02:44.221107+00:00,ACTIVE
40,testadmin,eight,ay@gmail.com,+37367890860,2010-09-06,2025-09-14T12:16:07.893539+00:00,ACTIVE
50,testadmin,V,ayyyy@gmail.com,+37367890864,2010-09-09,2025-09-16T11:55:51.635705+00:00,ACTIVE
