id,first_name,last_name,email,phone_number,date_of_birth,enrollment_date,status
11,aaa,aaa,aaaaa2@gmail.com,+37367888888,2009-09-14,2025-09-16T13:50:37.661211+00:00,ACTIVE
2,testadmin,V1,a1111@gmail.com,+37367890864,2010-09-07,2025-09-16T13:50:37.517946+00:00,ACTIVE
3,testadmin,V,a13333@gmail.com,+37367890864,2010-09-09,2025-09-16T13:50:37.561366+00:00,ACTIVE
4,test,V,a199@gmail.com,+37367890864,2010-09-14,2025-09-16T13:50:37.574050+00:00,ACTIVE
5,testadmin,V,a1@gmail.com,+37367890864,2010-09-14,2025-09-16T13:50:37.587070+00:00,ACTIVE
6,testadmin,M,a1r@gmail.com,+37367890864,2010-09-08,2025-09-16T13:50:37.600193+00:00,ACTIVE
7,testadmin,V,a1ttt@gmail.com,+37363323001,2010-09-08,2025-09-16T13:50:37.612497+00:00,ACTIVE
8,testadmin,M,a1yyy@gmail.com,+37367890864,2010-09-08,2025-09-16T13:50:37.629304+00:00,ACTIVE
9,testadmin,V,a6@gmail.com,+37367890864,2010-09-01,2025-09-16T13:50:37.641064+00:00,ACTIVE
10,asf,qwe,a@gmail.com,+37367888888,2010-09-09,2025-09-16T13:50:37.649960+00:00,ACTIVE
27,john,doe,john@example.com,+37360000001,2008-05-14,2025-09-16T13:50:37.876122+00:00,ACTIVE
29,lina,li,lina11@gmail.com,+37368999999,2010-09-07,2025-09-16T13:50:37.897090+00:00,ACTIVE
31,lina,li,lina@gmail.com,+37366343434,2009-08-31,2025-09-16T13:50:37.922806+00:00,ACTIVE
33,olivia,williams,olivia@example.com,+37360000008,2010-06-15,2025-09-16T13:50:37.947199+00:00,ACTIVE
35,rrr,ttt,rt@gmail.com,+37322444444,2010-09-13,2025-09-16T13:50:37.968418+00:00,ACTIVE
36,sophia,garcia,sophia@example.com,+37360000012,2009-08-20,2025-09-16T13:50:37.978010+00:00,ACTIVE
37,testing,admin,test2@gmail.com,+3736768888,2005-09-13,2025-09-16T13:50:37.985527+00:00,ACTIVE
39,test,trei,test3@gmail.com,+37367890865,2005-09-17,2025-09-16T13:50:38.002379+00:00,ACTIVE
40,teststudent,one,teststudent1@gmail.com,+37367890860,2004-05-17,2025-09-16T13:50:38.020179+00:00,ACTIVE
41,tom,jackson,tom@example.com,+37360000005,2007-03-03,2025-09-16T13:50:38.031051+00:00,ACTIVE
13,test,testing,ab@gmail.com,+37371234569,2010-09-01,2025-09-16T13:50:37.692740+00:00,ACTIVE
15,testadmin,seven,asdft@gmail.com,+37367890889,2010-09-07,2025-09-16T13:50:37.731203+00:00,ACTIVE
16,testadmin,M,atgc@gmail.com,+37363323001,2010-09-08,2025-09-16T13:50:37.740612+00:00,ACTIVE
17,test,f1,atyuio@gmail.com,+37367890860,2010-09-16,2025-09-16T13:50:37.752891+00:00,ACTIVE
18,aaa,aaaa,auuu@gmail.com,+37377123456,2010-09-08,2025-09-16T13:50:37.762133+00:00,ACTIVE
19,ava,brown,ava@example.com,+37360000010,2007-12-01,2025-09-16T13:50:37.776449+00:00,ACTIVE
20,sss,V,aww@gmail.com,+37367890864,2010-09-01,2025-09-16T13:50:37.787031+00:00,ACTIVE
21,testadmin,eight,ay@gmail.com,+37367890860,2010-09-06,2025-09-16T13:50:37.799587+00:00,ACTIVE
22,testadmin,V,ayyyy@gmail.com,+37367890864,2010-09-09,2025-09-16T13:50:37.813371+00:00,ACTIVE
23,qwer,asdf,b@gmail.com,+37371234567,2006-06-07,2025-09-16T13:50:37.825564+00:00,ACTIVE
24,aaa,aaa,bc@gmail.com,+37367890891,2010-09-11,2025-09-16T13:50:37.835659+00:00,ACTIVE
25,benjamin,hernandez,benjamin@example.com,+37360000015,2007-01-07,2025-09-16T13:50:37.851089+00:00,ACTIVE
26,emma,miller,emma@example.com,+37360000006,2008-02-10,2025-09-16T13:50:37.860070+00:00,ACTIVE
43,Olivia,Brown,olivia.brown@example.co.uk,+37371231234,2004-02-14,2025-09-16T13:56:53.269031+00:00,GRADUATED
1,elev,asdaqwe1,email@emailll.com,+37369099933,2007-05-23,2025-09-16T13:46:11.655320+00:00,GRADUATED
28,liam,johnson,liam@example.com,+37360000007,2009-04-25,2025-09-16T13:50:37.885278+00:00,INACTIVE
14,qwer,asdf,asdf@gmail.com,+37367123123,2009-03-12,2025-09-16T13:50:37.719825+00:00,INACTIVE
38,testadmin,six,test35@gmail.com,+37367890864,2010-09-01,2025-09-16T13:50:37.993904+00:00,INACTIVE
30,li,li2,lina1@gmail.com,+37366343434,2010-08-31,2025-09-16T13:50:37.910180+00:00,INACTIVE
32,mary,smith,mary@example.com,+37360000002,2009-07-22,2025-09-16T13:50:37.935159+00:00,INACTIVE
42,william,davis,william@example.com,+37360000011,2008-03-18,2025-09-16T13:50:38.042782+00:00,INACTIVE
34,asa,qwq,qweasd@gmail.com,+37367888888,2010-09-10,2025-09-16T13:50:37.957893+00:00,INACTIVE
12,aa,aaa,aaaaaa@gmail.com,+37366678966,2009-09-11,2025-09-16T13:50:37.679023+00:00,INACTIVE
